06,25,2005,Oak Street Bridge,P-16-3AS,81.0 ,78.5 
06,26,2005,Oak Street Bridge,P-16-3AS,83.1 ,79.7 
06,27,2005,Oak Street Bridge,P-16-3AS,76.0 ,77.2 
06,28,2005,Oak Street Bridge,P-16-3AS,76.5 ,77.8 
06,29,2005,Oak Street Bridge,P-16-3AS,78.5 ,78.2 
06,30,2005,Oak Street Bridge,P-16-3AS,70.5 ,74.8 
07,01,2005,Oak Street Bridge,P-16-3AS,85.3 ,81.4 
07,02,2005,Oak Street Bridge,P-16-3AS,81.6 ,79.1 
07,03,2005,Oak Street Bridge,P-16-3AS,83.0 ,79.7 
07,04,2005,Oak Street Bridge,P-16-3AS,81.9 ,79.2 
07,05,2005,Oak Street Bridge,P-16-3AS,75.4 ,74.2 
07,06,2005,Oak Street Bridge,P-16-3AS,83.4 ,78.8 
07,07,2005,Oak Street Bridge,P-16-3AS,82.7 ,78.4 
07,08,2005,Oak Street Bridge,P-16-3AS,75.7 ,74.7 
07,09,2005,Oak Street Bridge,P-16-3AS,84.8 ,78.7 
07,10,2005,Oak Street Bridge,P-16-3AS,87.0 ,79.7 
07,11,2005,Oak Street Bridge,P-16-3AS,83.5 ,78.8 
07,12,2005,Oak Street Bridge,P-16-3AS,81.8 ,78.4 
07,13,2005,Oak Street Bridge,P-16-3AS,81.0 ,78.0 
07,14,2005,Oak Street Bridge,P-16-3AS,80.1 ,77.7 
07,15,2005,Oak Street Bridge,P-16-3AS,78.1 ,76.4 
07,16,2005,Oak Street Bridge,P-16-3AS,85.1 ,78.6 
07,17,2005,Oak Street Bridge,P-16-3AS,84.9 ,78.9 
07,18,2005,Oak Street Bridge,P-16-3AS,81.6 ,78.4 
07,19,2005,Oak Street Bridge,P-16-3AS,79.2 ,77.6 
07,20,2005,Oak Street Bridge,P-16-3AS,81.1 ,78.1 
07,21,2005,Oak Street Bridge,P-16-3AS,80.2 ,77.6 
07,22,2005,Oak Street Bridge,P-16-3AS,80.3 ,77.9 
07,23,2005,Oak Street Bridge,P-16-3AS,83.5 ,78.1 
07,24,2005,Oak Street Bridge,P-16-3AS,86.6 ,79.4 
07,25,2005,Oak Street Bridge,P-16-3AS,83.4 ,78.4 
